Employee_ID,Work_Hours_Per_Day,Sleep_Hours_Per_Night,Personal_Time_Hours_Per_Day,Motivation_Level,Work_Stress_Level,Burnout_Rate_Daily,Workload_Intensity,Overtime_Hours_Today
1,6.0,5.5,0.5,6,4,0.38,4,0.0
1,4.0,7.0,3.0,5,4,0.42,2,0.0
1,4.0,4.5,2.0,3,4,0.5,2,0.0
1,5.0,5.5,2.0,3,5,0.53,3,0.0
1,2.5,7.5,5.0,4,5,0.48,1,0.0
1,5.0,5.0,2.5,6,5,0.42,3,0.0
1,5.0,6.5,3.0,4,5,0.52,3,0.0
1,3.0,5.5,3.0,3,6,0.58,1,0.0
1,5.0,4.0,3.0,1,6,0.68,3,0.0
1,5.5,6.5,3.5,4,6,0.58,4,0.0
1,2.0,5.0,1.5,3,6,0.61,1,0.0
1,6.0,5.0,3.0,2,7,0.72,4,0.0
1,3.5,7.0,1.0,2,6,0.65,1,0.0
1,4.0,4.5,0.5,1,6,0.67,2,0.0
1,4.0,5.5,2.5,4,6,0.6,2,0.0
1,2.5,4.0,2.0,2,6,0.67,1,0.0
1,4.5,6.0,1.5,2,6,0.67,2,0.0
1,4.0,4.5,2.0,2,7,0.71,2,0.0
1,7.5,4.5,2.0,1,7,0.78,5,0.0
1,4.5,6.0,2.5,2,8,0.78,2,0.0
1,6.5,5.5,1.0,5,8,0.72,5,0.0
1,5.0,4.0,1.0,1,8,0.87,3,0.0
1,4.5,4.5,2.0,1,9,0.93,2,0.0
1,2.0,6.5,2.0,2,10,0.98,1,0.0
1,5.5,5.0,1.5,1,10,1.0,4,0.0
1,5.0,5.5,1.5,1,9,0.93,3,0.0
1,7.5,6.0,3.0,3,10,0.93,5,0.0
1,3.0,4.5,1.5,1,10,1.0,1,0.0
1,3.5,4.5,1.5,1,10,1.0,1,0.0
1,3.5,5.0,2.0,1,10,1.0,1,0.0
1,9.0,4.0,1.0,1,10,0.98,5,1.0
1,8.0,4.0,0.0,1,10,1.0,5,0.0
1,3.5,4.0,2.0,1,10,1.0,1,0.0
1,4.5,5.5,3.5,2,10,0.97,2,0.0
1,4.5,4.5,1.0,1,10,1.0,2,0.0
1,4.5,3.5,2.5,3,10,0.94,2,0.0
1,2.5,4.5,1.0,2,10,0.97,1,0.0
1,7.5,5.5,2.5,3,10,0.95,5,0.0
1,5.0,5.5,2.0,3,10,0.92,3,0.0
1,6.0,5.0,1.5,3,10,0.95,4,0.0
1,6.0,4.0,2.0,1,10,1.0,4,0.0
1,5.5,5.5,0.5,1,10,0.99,4,0.0
1,5.0,5.0,3.0,1,10,1.0,3,0.0
