timestamp,stress_level,sleep_hours,workload,fatigue_level,mood_score,physical_activity_minutes,caffeine_intake_mg,social_interactions,anxiety_level,stress_level_rolling7,sleep_hours_rolling7,fatigue_level_rolling7,workload_rolling7,anxiety_level_rolling7,burnout_risk
2022-08-30 00:00:00,6.0,9.0,7.0,5.0,7.0,36.93,55.47,4.0,10.0,,,,,,0
2022-08-31 00:00:00,4.0,3.0,2.0,10.0,4.0,59.58,360.44,7.0,6.0,,,,,,0
2022-09-01 00:00:00,8.0,6.0,1.0,5.0,3.0,85.68,439.25,2.0,5.0,,,,,,0
2022-09-02 00:00:00,3.0,9.0,8.0,6.0,3.0,52.32,286.1,9.0,3.0,,,,,,0
2022-09-03 00:00:00,6.0,6.0,7.0,1.0,4.0,63.94,209.67,10.0,6.0,,,,,,0
2022-09-04 00:00:00,10.0,4.0,3.0,4.0,8.0,2.25,440.03,5.0,9.0,,,,,,1
2022-09-05 00:00:00,1.0,7.0,5.0,8.0,9.0,66.15,178.03,5.0,3.0,5.0,6.0,5.0,6.0,6.0,0
2022-09-06 00:00:00,7.0,9.0,3.0,6.0,2.0,26.76,406.95,6.0,3.0,4.0,5.0,6.0,4.0,3.0,0
2022-09-07 00:00:00,9.0,8.0,3.0,10.0,5.0,12.65,57.34,10.0,3.0,8.0,7.0,5.0,6.0,3.0,0
2022-09-08 00:00:00,4.0,4.0,1.0,7.0,1.0,51.02,71.68,2.0,3.0,6.0,8.0,5.0,6.0,4.0,0
2022-09-09 00:00:00,3.0,6.0,4.0,1.0,4.0,29.23,213.63,7.0,1.0,5.0,7.0,7.0,4.0,5.0,0
2022-09-10 00:00:00,8.0,6.0,2.0,2.0,2.0,57.2,386.71,7.0,5.0,5.0,6.0,5.0,3.0,4.0,0
2022-09-11 00:00:00,9.0,7.0,1.0,4.0,8.0,53.1,265.08,8.0,4.0,7.0,7.0,8.0,5.0,2.0,0
2022-09-12 00:00:00,2.0,8.0,10.0,7.0,4.0,67.98,445.75,7.0,10.0,7.0,8.0,3.0,4.0,5.0,0
2022-09-13 00:00:00,6.0,4.0,9.0,2.0,5.0,112.17,72.32,2.0,6.0,5.0,5.0,4.0,3.0,5.0,0
2022-09-14 00:00:00,5.0,10.0,6.0,9.0,4.0,14.23,465.77,5.0,6.0,6.0,7.0,6.0,4.0,6.0,0
2022-09-15 00:00:00,4.0,3.0,2.0,7.0,5.0,37.2,269.78,8.0,8.0,5.0,8.0,7.0,5.0,7.0,0
